ppt,group,attitude,trustworthiness,credibility,evaluation
90,not_affected,3.2142857142857144,4.071428571428571,3.7142857142857144,2.9166666666666665
91,not_affected,4.142857142857143,4.357142857142857,3,4.416666666666667
92,affected,5.928571428571429,5.214285714285714,4.714285714285714,1.6666666666666667
93,not_affected,3,5.142857142857143,3.7142857142857144,2.8333333333333335
94,affected,3.357142857142857,5.714285714285714,5.428571428571429,2
95,not_affected,6,4.142857142857143,3.142857142857143,3.6666666666666665
96,not_affected,4.142857142857143,4.428571428571429,3.4285714285714284,3.4166666666666665
97,not_affected,2.5714285714285716,4.785714285714286,4.142857142857143,4.416666666666667
98,not_affected,5.357142857142857,5.428571428571429,4.571428571428571,4
99,affected,1.5,4.142857142857143,1.5714285714285714,4.916666666666667
100,affected,1.3571428571428572,3.0714285714285716,1.4285714285714286,5
101,affected,2.7142857142857144,2.857142857142857,1.8571428571428572,5.5
102,affected,3.5,4.428571428571429,4.285714285714286,2.9166666666666665
103,not_affected,1.7857142857142858,6,5.428571428571429,1.8333333333333333
104,affected,6,6,5.285714285714286,1.5
105,not_affected,2.4285714285714284,6,5,2.3333333333333335
106,affected,3.7857142857142856,4.785714285714286,4.428571428571429,2.75
107,affected,5.071428571428571,5.714285714285714,3.7142857142857144,2.75
108,not_affected,2.642857142857143,5,3.857142857142857,4.333333333333333
109,affected,3.857142857142857,5,4.428571428571429,2.6666666666666665
110,not_affected,3.2142857142857144,5.5,4.714285714285714,2.5
111,affected,1.4285714285714286,5.642857142857143,3,5.166666666666667
112,not_affected,4.714285714285714,3.928571428571429,3,3.25
113,affected,5.714285714285714,4.571428571428571,4.142857142857143,2.5
114,not_affected,5.714285714285714,6,4.571428571428571,2.1666666666666665
115,not_affected,4.642857142857143,4.785714285714286,4.428571428571429,3.0833333333333335
116,affected,3.142857142857143,4.357142857142857,2.4285714285714284,4.083333333333333
117,not_affected,4.285714285714286,5,4.857142857142857,2.1666666666666665
118,affected,3.5714285714285716,4.285714285714286,3.7142857142857144,2.75
119,affected,3.0714285714285716,3.2142857142857144,2,4.916666666666667
120,not_affected,2.5,4.642857142857143,3.2857142857142856,3.5833333333333335
121,affected,5.642857142857143,5.214285714285714,5.285714285714286,1.6666666666666667
122,not_affected,3.0714285714285716,4.714285714285714,4,4.666666666666667
123,affected,4.357142857142857,4.857142857142857,4,2.3333333333333335
124,affected,4.071428571428571,4.571428571428571,4,3.5
125,not_affected,3,4.642857142857143,3.7142857142857144,2.8333333333333335
126,not_affected,3.0714285714285716,4.714285714285714,2.5714285714285716,4.166666666666667
127,affected,3.7857142857142856,4.928571428571429,4,2.8333333333333335
128,not_affected,3.5714285714285716,4.571428571428571,4,2.5
129,affected,3.928571428571429,5,4,3.4166666666666665
130,not_affected,3.5,5.142857142857143,3.857142857142857,2.9166666666666665
131,affected,3.5714285714285716,5.642857142857143,3.857142857142857,3.3333333333333335
132,not_affected,3.928571428571429,5.5,4.142857142857143,4.166666666666667
133,affected,2.5,3.857142857142857,2.2857142857142856,4.333333333333333
134,not_affected,2.357142857142857,3.5714285714285716,2.5714285714285716,3.6666666666666665
135,affected,4.857142857142857,5.428571428571429,5.142857142857143,2.1666666666666665
136,not_affected,5.142857142857143,4.928571428571429,4.714285714285714,3.5
137,affected,2.4285714285714284,4.857142857142857,3.4285714285714284,2.1666666666666665
