comfort,mental_health_pre,mental_health_since,wellbeing_since,gender,age,partner,species,loneliness_pre,loneliness_since
44,21,20,22,female,55_64,not_living_partner,dog,6,7
47,21,21,16,female,45_54,living_partner,dog,4,3
48,18,19,22,female,70_over,living_partner,dog,5,6
48,21,19,11,female,65_70,not_living_partner,dog,4,6
48,20,19,21,female,45_54,not_living_partner,cat,6,7
37,21,20,18,female,55_64,not_living_partner,dog,3,6
48,22,22,14,female,65_70,living_partner,dog,3,3
12,20,19,19,female,45_54,living_partner,dog,3,6
45,21,21,23,female,25_34,not_living_partner,dog,4,7
46,16,18,19,male,35_44,not_living_partner,cat,3,3
36,19,19,16,male,65_70,not_living_partner,cat,3,6
48,16,18,22,female,55_64,living_partner,dog,3,3
48,20,19,17,male,70_over,living_partner,dog,3,3
48,20,19,19,female,55_64,not_living_partner,cat,5,5
45,18,22,14,male,55_64,living_partner,dog,3,3
45,17,19,19,male,55_64,not_living_partner,dog,3,3
45,19,19,22,female,35_44,living_partner,dog,7,7
41,21,20,18,male,18_24,living_partner,dog,7,9
33,21,22,13,male,65_70,living_partner,dog,3,5
42,19,20,13,male,55_64,living_partner,dog,3,4
45,19,20,16,female,55_64,living_partner,dog,3,4
42,22,22,7,female,70_over,not_living_partner,cat,3,3
43,19,18,15,female,25_34,living_partner,dog,5,3
48,21,15,25,female,35_44,living_partner,dog,3,9
38,20,20,18,female,55_64,not_living_partner,cat,7,9
36,20,21,17,male,55_64,living_partner,dog,4,5
48,18,20,25,female,45_54,living_partner,dog,6,8
39,18,10,24,male,45_54,not_living_partner,cat,4,7
32,20,21,12,male,55_64,living_partner,dog,3,6
38,21,20,10,male,55_64,living_partner,dog,3,3
38,21,21,20,male,55_64,living_partner,dog,4,5
38,21,20,13,female,55_64,living_partner,dog,3,3
48,18,17,15,female,45_54,not_living_partner,dog,4,4
47,20,20,14,male,65_70,not_living_partner,cat,5,5
43,21,23,15,male,55_64,not_living_partner,dog,3,4
48,16,14,27,male,45_54,not_living_partner,dog,9,9
46,20,22,19,female,25_34,living_partner,dog,4,7
48,20,18,15,female,55_64,living_partner,dog,3,3
43,23,20,22,male,45_54,not_living_partner,dog,4,8
47,21,21,24,male,25_34,living_partner,dog,5,3
44,20,20,8,male,55_64,living_partner,dog,6,5
48,19,17,17,male,45_54,living_partner,dog,5,5
46,22,19,21,male,55_64,living_partner,dog,5,5
46,21,17,28,male,45_54,not_living_partner,cat,7,9
48,16,20,14,male,45_54,living_partner,cat,6,3
48,22,22,19,male,65_70,living_partner,dog,6,3
44,19,19,18,male,35_44,living_partner,dog,6,6
48,18,14,29,male,45_54,not_living_partner,dog,7,9
46,18,18,22,male,45_54,living_partner,dog,3,6
39,21,20,27,female,45_54,not_living_partner,cat,8,8
48,21,22,14,male,35_44,not_living_partner,dog,4,5
48,25,23,19,male,70_over,not_living_partner,dog,9,9
47,20,19,19,male,65_70,not_living_partner,dog,3,9
48,20,18,18,male,35_44,not_living_partner,dog,6,6
47,18,17,20,female,25_34,not_living_partner,cat,7,7
45,17,14,23,male,35_44,living_partner,cat,5,8
36,19,21,16,female,45_54,living_partner,dog,3,4
47,22,21,16,male,55_64,living_partner,dog,7,8
35,23,23,14,male,65_70,living_partner,dog,3,4
47,16,16,28,male,25_34,not_living_partner,cat,5,8
48,20,18,22,female,45_54,living_partner,dog,6,5
44,23,20,16,male,45_54,not_living_partner,dog,3,6
48,20,20,17,male,70_over,living_partner,dog,3,3
48,21,21,18,female,55_64,not_living_partner,dog,3,6
44,21,23,21,male,55_64,living_partner,dog,3,3
45,23,20,16,female,45_54,living_partner,cat,3,5
36,20,20,14,male,55_64,living_partner,dog,3,3
48,19,18,26,male,35_44,not_living_partner,dog,6,4
48,20,21,15,male,70_over,living_partner,dog,4,4
48,18,20,8,male,55_64,living_partner,dog,3,4
42,21,20,16,male,70_over,living_partner,dog,4,4
39,21,20,19,male,55_64,not_living_partner,dog,3,3
47,25,23,19,male,45_54,living_partner,dog,3,3
39,19,24,16,male,70_over,not_living_partner,dog,4,5
46,17,19,16,male,55_64,living_partner,cat,6,6
13,17,18,20,female,35_44,living_partner,dog,5,6
18,21,21,18,female,45_54,not_living_partner,dog,5,5
34,19,20,15,female,35_44,living_partner,reptile,3,3
48,15,17,18,female,35_44,living_partner,dog,5,3
45,21,22,23,female,25_34,living_partner,dog,3,4
48,24,22,15,female,25_34,living_partner,dog,3,3
40,21,24,17,female,35_44,not_living_partner,dog,6,7
46,20,21,14,female,25_34,living_partner,dog,3,3
48,20,18,19,female,25_34,living_partner,dog,6,4
48,19,22,20,female,70_over,not_living_partner,cat,3,8
