age,gender,sportype,perabil,cheating,gamesman,commit,conven,task,ego
13.05,1,1,44,13,29,24,24,33,29
14.18,1,0,35,19,25,19,24,28,24
14.9,1,1,48,21,30,24,20,35,34
12.01,0,1,26,14,21,14,10,21,18
14.08,1,1,40,13,19,25,18,30,17
13.13,0,0,27,6,11,19,23,33,21
12.22,0,0,41,9,12,18,17,30,23
12.82,1,0,45,6,9,23,25,33,21
13.94,1,1,41,9,19,25,24,27,27
14.49,0,1,39,6,15,20,19,27,23
13.76,1,1,34,13,12,20,22,27,20
13.55,0,1,48,6,21,24,25,35,28
14.83,1,0,24,12,16,18,18,26,9
14.64,0,1,43,7,9,25,23,34,25
12.92,0,0,21,6,13,21,20,29,17
12.67,0,1,44,7,11,25,20,35,25
14.52,1,1,40,7,13,22,25,34,24
12.71,1,1,36,6,18,23,23,33,27
15.32,0,1,37,12,20,18,18,31,22
12.84,1,0,46,6,9,24,23,32,29
15.85,1,1,41,6,21,21,25,31,29
13.16,0,1,35,8,16,24,21,27,8
12.3,0,0,38,18,21,22,25,32,19
14.78,1,1,47,12,24,25,20,31,28
14.6,0,0,36,6,10,23,23,30,22
12.16,1,1,40,7,18,23,21,31,25
14.47,1,1,29,13,17,18,15,26,18
14.31,0,1,42,7,13,20,20,30,16
14.07,1,1,30,6,7,24,25,35,10
12.22,1,1,44,6,20,23,22,33,30
13.96,1,1,38,7,19,23,17,33,25
12.61,0,0,25,6,11,19,23,32,24
14.52,0,1,26,25,28,17,21,27,28
12.14,1,1,45,11,19,18,21,30,16
12.88,1,0,30,6,11,17,9,27,18
14.94,1,1,30,6,10,25,23,35,22
15.66,1,1,37,6,18,23,25,35,25
12.54,1,1,41,12,16,20,17,26,23
13.88,1,1,43,6,11,25,25,34,28
14.5,0,1,37,7,14,19,22,28,28
12.27,0,0,37,6,7,24,24,30,17
13.92,0,1,26,12,15,20,20,25,21
15.99,0,1,45,13,11,18,20,33,24
13.76,1,1,38,6,17,18,14,29,26
15.61,1,1,40,17,28,20,22,32,25
14.62,0,1,41,7,21,17,20,24,24
13.43,0,0,41,19,28,21,21,26,24
13.33,1,1,25,6,27,25,19,32,17
13.91,1,1,38,16,27,23,21,34,22
15.78,1,1,32,12,28,19,19,27,21
13.52,1,0,42,12,15,20,19,29,31
15.09,1,1,37,16,22,22,20,34,24
13.26,0,0,30,6,15,19,22,27,22
12.97,0,1,43,7,13,19,16,34,26
14.09,1,1,46,6,14,25,25,35,22
14.81,1,1,37,6,21,22,19,25,29
14.27,1,1,22,10,17,17,11,22,17
15.13,0,0,35,7,17,22,17,35,29
14.93,1,1,37,6,17,18,11,31,24
14.78,0,0,40,6,12,23,18,35,30
12.15,0,0,34,6,13,23,20,29,24
13.56,1,1,42,18,28,22,20,31,32
15.66,0,0,41,6,17,23,20,29,17
12.64,0,0,35,12,14,18,15,27,23
13.24,1,1,39,9,15,22,17,29,23
14.75,0,1,42,6,14,25,25,35,29
12.54,1,1,33,15,20,22,23,35,29
14.59,1,1,34,8,21,18,21,26,30
13.92,1,1,38,15,27,25,23,31,29
14.65,0,1,35,7,11,14,14,19,17
13.68,0,1,42,7,12,22,23,35,14
15.97,1,1,46,6,27,25,25,35,29
14.47,1,0,40,7,17,25,21,30,14
14.38,1,1,23,6,7,20,20,30,22
12.8,0,0,38,10,14,24,14,33,29
15.2,0,0,30,10,14,18,18,29,14
13.21,0,0,37,6,10,21,24,31,14
14.19,1,1,35,12,16,22,19,31,19
13.72,1,1,45,8,24,24,25,29,31
12.71,0,0,44,10,22,23,22,23,34
14.13,1,1,42,15,19,21,13,27,23
14.83,1,1,32,11,31,22,15,25,32
12.25,1,1,39,15,30,22,16,30,20
13.37,1,1,41,6,20,24,24,35,31
14.96,1,1,36,19,27,23,21,31,33
13.26,0,1,34,12,16,15,14,27,20
14.57,1,0,34,7,14,19,18,24,18
13.08,0,1,45,6,7,24,25,34,11
14.78,0,1,41,6,19,19,21,34,19
14.24,0,0,41,6,7,25,23,34,22
12.52,0,1,42,8,12,25,20,35,24
14.74,0,1,36,6,17,21,24,35,22
14.1,1,1,42,14,22,24,25,33,21
14.13,1,0,36,9,11,20,21,28,27
14.34,1,1,41,8,17,20,15,27,26
13.57,0,0,32,11,14,18,19,28,15
13.05,1,1,49,6,13,21,25,35,25
12.26,0,0,36,8,18,22,23,34,15
12.39,1,0,33,12,14,16,15,24,24
12.97,1,1,41,6,16,25,25,34,21
12.67,0,0,41,17,27,23,22,31,30
14.15,0,1,41,6,14,19,17,28,11
13.08,1,1,36,12,18,23,22,33,16
12.93,1,0,36,6,8,19,23,26,16
15.72,1,1,41,10,32,25,13,32,30
