age,gender,concern,exaggerate,behaviour,urgency,responsibility,pay,hedonism,nuclear
70,0,3,1,5,5,3,2,2,2
25,1,2,4,3,4,1,5,2,4
31,0,4,2,1,1,1,2,3,3
58,1,2,2,2,3,2,2,3,3
19,1,1,5,2,2,2,2,1,5
36,0,3,3,3,3,2,4,2,3
70,0,2,3,1,1,1,1,2,5
83,0,1,2,2,3,2,2,3,2
28,1,2,2,3,4,3,4,5,5
75,1,1,4,2,3,1,2,2,3
21,1,2,2,4,5,4,2,3,2
53,0,2,2,2,4,2,3,2,3
33,0,1,5,2,2,2,2,1,4
68,0,1,5,4,2,1,1,3,5
20,0,1,5,1,1,1,2,2,5
16,1,2,4,1,2,2,4,3,2
49,0,4,4,2,2,2,2,2,4
63,1,3,2,2,4,2,3,3,1
30,1,3,2,4,4,2,4,3,1
46,1,1,5,1,2,2,4,2,3
74,1,2,4,2,3,2,2,2,2
65,0,2,2,4,4,4,2,3,4
22,1,1,4,3,5,3,2,4,3
63,1,1,5,2,2,1,2,3,5
44,0,3,3,2,3,2,4,2,2
58,1,1,4,5,5,2,2,3,2
79,1,2,2,3,4,2,2,4,2
60,0,4,3,2,2,1,3,2,3
36,1,1,4,1,2,1,2,2,2
42,0,1,5,2,1,1,1,3,3
84,1,2,5,4,4,3,2,3,2
16,1,1,5,2,2,2,4,3,2
74,1,5,2,3,4,2,3,2,1
47,0,1,4,4,3,2,3,2,2
34,1,4,4,4,5,3,4,2,3
46,1,4,1,5,5,5,2,3,1
53,0,3,2,3,4,2,4,1,1
59,0,1,4,2,2,2,2,3,3
35,0,3,1,2,2,2,4,4,3
40,0,2,2,2,5,5,5,4,4
44,1,2,2,2,4,2,4,3,2
52,0,2,1,4,3,2,2,2,2
26,1,3,2,3,3,2,3,2,2
24,0,3,2,5,5,4,4,2,2
47,1,4,2,4,4,4,5,2,2
55,1,2,4,4,5,3,4,2,2
34,0,2,3,1,2,2,2,4,4
25,1,1,5,1,1,1,1,3,2
24,1,2,4,4,4,2,3,3,5
52,1,1,4,1,4,2,3,2,2
20,1,3,2,4,4,4,5,3,4
23,0,2,4,2,4,2,2,3,4
76,1,3,2,2,3,2,2,3,1
50,0,1,2,2,3,2,4,2,3
17,1,2,2,4,4,2,4,3,4
49,0,2,3,2,2,2,2,2,3
46,1,2,2,2,2,2,2,4,4
68,1,3,2,4,5,4,2,3,2
32,0,2,4,2,2,2,3,2,4
32,0,3,2,4,4,2,3,4,2
34,0,2,2,4,3,3,3,5,5
30,1,1,2,2,2,2,4,4,2
25,1,3,2,4,3,3,2,2,4
29,0,3,2,4,5,2,5,3,4
21,1,3,4,2,2,2,3,4,3
50,0,1,4,2,3,2,3,3,2
39,0,2,4,1,2,1,2,3,2
68,0,2,1,2,3,2,5,5,4
66,1,2,4,2,4,2,2,3,2
69,1,3,1,5,5,4,4,4,4
40,1,3,1,2,4,3,2,1,3
76,0,3,3,2,2,2,3,3,3
35,0,1,5,1,1,1,4,3,5
46,0,2,3,2,2,2,4,4,3
79,1,2,1,2,1,2,2,3,1
70,1,2,4,2,2,2,2,2,1
38,0,2,5,2,4,2,3,3,3
37,1,1,4,2,2,1,5,5,1
22,0,1,5,1,2,1,2,4,5
41,0,2,5,4,2,2,3,1,4
22,0,2,4,2,3,3,2,3,3
48,1,1,5,1,1,1,1,3,3
25,0,1,5,2,1,2,5,3,4
36,1,2,4,2,3,2,3,4,2
74,0,3,3,2,3,3,5,1,3
44,0,3,2,2,4,2,5,1,4
57,0,1,5,2,2,2,4,1,1
79,0,3,2,4,4,2,3,2,4
66,0,2,1,5,5,5,5,2,2
52,0,2,4,2,4,2,4,4,3
41,1,1,5,2,5,2,5,3,1
65,0,2,1,1,3,1,4,2,4
77,1,3,2,3,3,2,3,2,3
28,1,3,3,2,4,2,4,3,3
78,1,3,1,4,4,2,4,2,2
72,1,2,3,3,4,3,2,2,1
17,0,1,2,1,2,3,2,5,5
55,1,2,4,1,2,2,2,2,2
73,0,2,5,4,5,5,3,1,3
41,1,1,5,1,2,1,2,2,2
66,0,1,5,1,1,1,2,2,5
26,0,2,5,1,3,3,4,2,3
72,1,3,2,4,4,3,2,3,2
39,0,2,4,2,2,1,4,2,3
75,0,1,4,2,2,2,2,2,2
18,0,1,2,2,2,2,3,4,3
38,0,2,4,2,2,2,4,3,4
44,1,1,5,1,2,2,4,2,2
46,1,2,2,2,3,2,4,3,1
47,1,3,1,4,5,4,4,3,2
40,0,4,2,1,2,1,2,1,3
45,1,4,2,2,2,2,3,4,3
69,1,2,3,3,3,2,3,2,3
58,1,3,4,2,2,2,4,3,5
72,1,1,5,1,1,1,1,1,4
48,0,2,4,2,2,2,4,2,4
75,0,2,2,4,5,4,3,3,3
41,1,2,3,3,3,2,3,3,5
60,0,1,5,1,2,2,1,2,3
53,1,1,5,2,1,1,1,2,4
58,0,3,4,2,5,4,2,3,2
48,0,1,4,2,2,2,2,2,2
24,1,1,2,2,3,3,4,1,5
39,1,2,3,2,3,2,4,4,2
30,0,2,3,2,3,3,4,3,1
48,0,1,5,1,1,1,1,3,5
53,0,2,3,2,3,2,2,2,5
82,0,4,5,4,5,3,2,4,1
31,1,3,4,4,4,2,2,2,5
43,0,2,4,2,3,2,2,2,4
21,1,2,4,2,3,2,2,4,3
49,1,2,4,1,1,1,2,3,3
16,0,2,3,2,2,2,3,1,4
22,0,1,4,2,2,2,5,2,5
54,1,1,5,5,5,2,5,2,2
42,0,3,2,4,3,3,2,1,3
55,1,1,4,2,1,2,2,2,2
74,1,1,2,4,5,4,4,4,1
66,1,4,2,4,4,4,4,1,1
76,0,1,4,2,2,2,2,3,2
33,0,2,2,2,4,4,4,2,2
74,1,3,1,5,3,3,5,3,1
26,1,2,5,2,2,2,2,2,5
85,0,3,3,3,3,3,5,1,3
18,1,1,5,1,2,1,2,4,3
70,0,2,2,4,3,4,5,2,2
36,0,2,3,2,2,2,3,4,3
83,0,3,2,4,3,2,3,3,2
85,1,2,3,2,4,2,2,2,2
39,0,2,1,1,4,4,4,2,5
45,1,1,5,1,2,1,2,3,4
43,0,1,5,1,2,1,2,3,3
46,0,1,5,4,2,2,1,1,3
63,1,3,2,3,4,3,5,3,5
31,1,2,4,2,2,2,2,3,5
28,0,1,4,2,2,1,2,3,5
71,1,2,3,4,4,5,4,2,1
22,0,2,4,2,2,2,4,4,5
22,0,1,5,1,2,1,2,4,4
38,1,2,4,2,3,2,4,1,1
61,0,1,2,2,3,1,3,1,4
43,0,2,4,2,2,2,3,3,3
59,1,2,2,3,3,3,4,3,1
51,1,2,2,3,3,3,4,2,4
70,0,2,1,4,4,2,2,2,4
50,0,1,5,1,2,1,2,2,5
53,0,1,4,2,3,2,4,2,3
71,1,4,1,3,3,3,2,3,1
43,1,1,5,2,2,2,4,3,4
17,1,2,4,2,2,2,2,2,5
23,0,1,5,1,1,1,1,2,4
49,0,2,3,2,3,3,3,2,3
51,1,3,2,2,5,5,4,4,2
55,0,2,4,2,4,2,4,2,2
62,0,3,2,4,3,2,5,3,5
67,1,3,2,2,4,2,3,3,2
43,0,3,2,4,4,3,3,2,1
47,0,1,4,1,2,1,2,3,2
67,0,2,5,1,2,1,2,2,3
64,1,4,1,5,5,5,2,3,1
75,0,4,2,3,4,4,5,3,2
20,1,4,1,4,4,5,2,5,2
27,1,3,2,3,4,2,2,2,5
65,0,1,5,2,2,2,2,1,4
39,0,2,2,4,4,1,2,2,5
37,1,3,4,2,2,2,2,3,3
77,1,3,4,4,2,1,1,4,1
46,0,4,1,5,5,5,5,2,3
20,0,4,3,3,2,2,4,4,2
15,1,2,4,2,4,2,2,2,4
34,1,3,1,1,5,1,2,1,1
51,0,2,4,2,3,2,3,2,2
59,0,3,2,2,4,2,4,2,2
65,1,1,1,1,1,1,2,1,4
33,0,2,3,2,2,2,2,4,3
16,0,2,4,2,4,2,2,2,4
62,0,2,1,3,4,2,2,3,3
41,0,4,2,4,4,5,5,3,5
46,0,2,2,2,2,1,4,4,4
61,1,1,5,2,2,2,3,3,4
35,0,3,2,3,4,2,4,3,1
81,1,2,4,2,2,2,2,2,1
67,0,2,4,2,3,2,2,4,2
34,0,2,5,1,2,2,2,2,4
24,0,4,1,5,5,2,2,4,5
39,0,3,2,2,3,2,3,3,3
51,1,3,2,4,4,4,2,3,2
32,0,3,2,4,5,3,5,3,3
35,1,4,3,1,4,1,3,4,2
